campaign_id,campaign_name,build_id,collection_name,is_rail_item,rail_name,rail_position,collection_position,product_name,brand,product_url,external_id,price,currency,stock_status,observed_at,annotation
almost-fall-2026,Almost Fall,b006,Bath & Body,FALSE,,,30,The Glow Getter Multi-Oil Body Scrub,Naturium,https://naturium.com/products/the-glow-getter-multi-oil-body-scrub,,19.99,USD,in_stock,2026-06-07,
almost-fall-2026,Almost Fall,b006,Bath & Body,FALSE,,,31,The Glow Getter Multi-Oil Hydrating Body Wash,Naturium,https://naturium.com/products/the-glow-getter-multi-oil-hydrating-body-wash,,17,USD,in_stock,2026-06-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,1,1,Amber & Moss Reed Diffuser,P.F. Candle Co.,https://pfcandleco.com/products/amber-moss-reed-diffuser,,33.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,2,2,Cinder Noir Candle,Brooklyn Candle Studio,https://brooklyncandlestudio.com/products/cinder-noir-candle,,22.8,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,3,3,Kyoto Woods Jar Candle,Brooklyn Candle Studio,https://brooklyncandlestudio.com/products/kyoto-woods-jar-candle,,34.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,4,4,Sandalwood Rose Reed Diffuser,P.F. Candle Co.,https://pfcandleco.com/products/sandalwood-rose-reed-diffuser,,33.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,5,5,The Candle in Understory,East Fork,https://eastfork.com/products/the-candle-in-understory,,32.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,6,6,The Parachute Candle,Parachute,https://www.parachutehome.com/products/the-parachute-candle,,54.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,7,7,Woodphoria Candle,Boy Smells,https://boysmells.com/products/woodphoria-candle-9oz,,44.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,8,8,Amber & Moss Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/amber-moss-standard-candle,,24,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,9,9,Arroyo Oak Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/arroyo-oak-standard-candle,,24,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,10,10,Coco Hinoki Candle,Boy Smells,https://boysmells.com/products/coco-fantome-standard-candle-9oz,,44,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,11,11,Daybed,Otherland,https://www.otherland.com/products/daybed,,20,USD,in_stock,2026-07-19,
